期号,百位,十位,个位,和值,跨度,重复数字
115,0 ,3 ,2 ,5,3,0
116,8 ,8 ,8 ,24,0,1
117,8 ,4 ,2 ,14,6,0
118,4 ,4 ,8 ,16,4,1
119,0 ,7 ,5 ,12,7,0
120,7 ,7 ,0 ,14,7,1
121,3 ,8 ,1 ,12,7,0
122,4 ,9 ,4 ,17,5,1
123,2 ,6 ,5 ,13,4,0
124,0 ,4 ,2 ,6,4,0
125,5 ,3 ,3 ,11,2,1
126,0 ,0 ,5 ,5,5,1
127,4 ,2 ,4 ,10,2,1
128,8 ,1 ,3 ,12,7,0
129,7 ,2 ,7 ,16,5,1
130,3 ,2 ,8 ,13,6,0
131,3 ,8 ,7 ,18,5,0
132,7 ,7 ,3 ,17,4,1
133,5 ,7 ,4 ,16,3,0
134,8 ,4 ,1 ,13,7,0
135,0 ,7 ,8 ,15,8,0
136,2 ,0 ,6 ,8,6,0
137,8 ,6 ,0 ,14,8,0
138,4 ,9 ,3 ,16,6,0
139,1 ,8 ,4 ,13,7,0
140,6 ,5 ,1 ,12,5,0
141,4 ,6 ,1 ,11,5,0
142,2 ,4 ,7 ,13,5,0
143,3 ,5 ,7 ,15,4,0
144,3 ,2 ,3 ,8,1,1
145,2 ,1 ,3 ,6,2,0
146,2 ,0 ,8 ,10,8,0
147,6 ,8 ,3 ,17,5,0
148,7 ,9 ,3 ,19,6,0
149,0 ,9 ,4 ,13,9,0
150,4 ,9 ,0 ,13,9,0
151,3 ,9 ,6 ,18,6,0
152,9 ,9 ,2 ,20,7,1
153,9 ,0 ,9 ,18,9,1
154,8 ,3 ,5 ,16,5,0
155,5 ,5 ,7 ,17,2,1
156,1 ,8 ,9 ,18,8,0
157,5 ,9 ,9 ,23,4,1
158,7 ,5 ,4 ,16,3,0
159,1 ,1 ,6 ,8,5,1
160,3 ,2 ,2 ,7,1,1
161,8 ,4 ,0 ,12,8,0
162,1 ,8 ,0 ,9,8,0
163,8 ,0 ,9 ,17,9,0
164,3 ,4 ,1 ,8,3,0
165,3 ,2 ,2 ,7,1,1
166,4 ,1 ,3 ,8,3,0
167,5 ,4 ,3 ,12,2,0
168,6 ,2 ,0 ,8,6,0
169,4 ,0 ,5 ,9,5,0
170,1 ,5 ,6 ,12,5,0
171,2 ,3 ,3 ,8,1,1
172,8 ,2 ,7 ,17,6,0
173,3 ,9 ,2 ,14,7,0
174,3 ,5 ,1 ,9,4,0
175,1 ,3 ,9 ,13,8,0
176,5 ,1 ,9 ,15,8,0
177,2 ,4 ,2 ,8,2,1
178,3 ,4 ,5 ,12,2,0
179,8 ,6 ,1 ,15,7,0
180,5 ,5 ,1 ,11,4,1
181,9 ,8 ,3 ,20,6,0
182,0 ,9 ,2 ,11,9,0
183,6 ,7 ,4 ,17,3,0
184,6 ,0 ,5 ,11,6,0
185,2 ,2 ,3 ,7,1,1
186,3 ,9 ,6 ,18,6,0
187,9 ,6 ,6 ,21,3,1
188,6 ,3 ,0 ,9,6,0
189,1 ,4 ,0 ,5,4,0
190,1 ,7 ,1 ,9,6,1
191,8 ,9 ,3 ,20,6,0
192,0 ,6 ,8 ,14,8,0
193,0 ,7 ,5 ,12,7,0
194,3 ,1 ,8 ,12,7,0
195,6 ,5 ,7 ,18,2,0
196,4 ,2 ,8 ,14,6,0
197,9 ,0 ,5 ,14,9,0
198,6 ,5 ,6 ,17,1,1
199,9 ,2 ,0 ,11,9,0
200,0 ,7 ,6 ,13,7,0
201,5 ,8 ,1 ,14,7,0
202,5 ,8 ,8 ,21,3,1
203,3 ,8 ,7 ,18,5,0
204,1 ,7 ,9 ,17,8,0
205,6 ,2 ,5 ,13,4,0
206,2 ,9 ,7 ,18,7,0
207,6 ,3 ,2 ,11,4,0
208,4 ,7 ,4 ,15,3,1
209,9 ,8 ,4 ,21,5,0
210,0 ,8 ,6 ,14,8,0
211,0 ,7 ,1 ,8,7,0
212,5 ,6 ,5 ,16,1,1
213,4 ,6 ,0 ,10,6,0
214,5 ,4 ,6 ,15,2,0
215,8 ,5 ,3 ,16,5,0
216,5 ,9 ,6 ,20,4,0
217,7 ,9 ,1 ,17,8,0
218,5 ,6 ,4 ,15,2,0
219,1 ,1 ,2 ,4,1,1
220,3 ,0 ,2 ,5,3,0
221,8 ,7 ,6 ,21,2,0
222,3 ,4 ,1 ,8,3,0
223,7 ,9 ,0 ,16,9,0
224,3 ,7 ,7 ,17,4,1
225,9 ,0 ,3 ,12,9,0
226,6 ,8 ,4 ,18,4,0
227,5 ,4 ,9 ,18,5,0
228,5 ,7 ,6 ,18,2,0
229,4 ,7 ,7 ,18,3,1
230,6 ,1 ,1 ,8,5,1
231,2 ,5 ,3 ,10,3,0
232,0 ,4 ,0 ,4,4,1
233,1 ,7 ,1 ,9,6,1
234,4 ,5 ,2 ,11,3,0
235,1 ,6 ,3 ,10,5,0
236,4 ,1 ,8 ,13,7,0
237,6 ,6 ,2 ,14,4,1
238,8 ,1 ,7 ,16,7,0
239,6 ,0 ,2 ,8,6,0
240,7 ,1 ,1 ,9,6,1
241,7 ,5 ,2 ,14,5,0
242,5 ,2 ,0 ,7,5,0
243,0 ,7 ,3 ,10,7,0
244,0 ,6 ,4 ,10,6,0
245,4 ,6 ,8 ,18,4,0
246,8 ,8 ,4 ,20,4,1
247,2 ,6 ,5 ,13,4,0
248,2 ,5 ,1 ,8,4,0
249,0 ,0 ,0 ,0,0,1
250,2 ,7 ,1 ,10,6,0
251,0 ,8 ,2 ,10,8,0
252,9 ,9 ,1 ,19,8,1
253,2 ,0 ,0 ,2,2,1
254,4 ,4 ,4 ,12,0,1
255,6 ,8 ,7 ,21,2,0
256,6 ,2 ,4 ,12,4,0
257,3 ,9 ,5 ,17,6,0
258,0 ,9 ,9 ,18,9,1
259,9 ,8 ,1 ,18,8,0
260,1 ,4 ,3 ,8,3,0
261,2 ,2 ,7 ,11,5,1
262,7 ,1 ,4 ,12,6,0
263,8 ,5 ,7 ,20,3,0
264,8 ,7 ,6 ,21,2,0
265,9 ,1 ,2 ,12,8,0
266,8 ,0 ,5 ,13,8,0
267,7 ,5 ,4 ,16,3,0
268,9 ,7 ,5 ,21,4,0
269,5 ,1 ,1 ,7,4,1
270,7 ,9 ,1 ,17,8,0
271,0 ,9 ,0 ,9,9,1
272,7 ,6 ,8 ,21,2,0
273,3 ,0 ,1 ,4,3,0
274,5 ,5 ,6 ,16,1,1
275,7 ,0 ,5 ,12,7,0
276,7 ,8 ,7 ,22,1,1
277,7 ,4 ,3 ,14,4,0
278,3 ,2 ,1 ,6,2,0
279,7 ,7 ,6 ,20,1,1
280,3 ,0 ,0 ,3,3,1
281,8 ,4 ,3 ,15,5,0
282,5 ,3 ,0 ,8,5,0
283,8 ,5 ,4 ,17,4,0
284,8 ,8 ,6 ,22,2,1
285,7 ,6 ,1 ,14,6,0
286,3 ,4 ,7 ,14,4,0
287,1 ,0 ,2 ,3,2,0
288,3 ,6 ,0 ,9,6,0
289,7 ,8 ,1 ,16,7,0
290,0 ,4 ,7 ,11,7,0
291,0 ,4 ,5 ,9,5,0
292,8 ,2 ,3 ,13,6,0
293,9 ,3 ,0 ,12,9,0
294,0 ,8 ,0 ,8,8,1
295,9 ,6 ,7 ,22,3,0
296,7 ,3 ,0 ,10,7,0
297,6 ,4 ,3 ,13,3,0
298,1 ,9 ,1 ,11,8,1
299,3 ,6 ,8 ,17,5,0
300,7 ,2 ,8 ,17,6,0
301,8 ,2 ,6 ,16,6,0
302,8 ,4 ,0 ,12,8,0
303,5 ,8 ,5 ,18,3,1
304,9 ,7 ,6 ,22,3,0
305,7 ,6 ,6 ,19,1,1
306,4 ,7 ,3 ,14,4,0
307,3 ,5 ,5 ,13,2,1
308,2 ,3 ,5 ,10,3,0
309,6 ,1 ,9 ,16,8,0
310,2 ,5 ,8 ,15,6,0
311,8 ,1 ,5 ,14,7,0
312,8 ,8 ,2 ,18,6,1
313,5 ,0 ,8 ,13,8,0
314,7 ,6 ,4 ,17,3,0
315,8 ,5 ,2 ,15,6,0
316,8 ,8 ,2 ,18,6,1
317,1 ,6 ,7 ,14,6,0
318,2 ,2 ,8 ,12,6,1
319,1 ,1 ,5 ,7,4,1
320,0 ,1 ,3 ,4,3,0
321,3 ,8 ,9 ,20,6,0
322,7 ,4 ,7 ,18,3,1
323,1 ,7 ,2 ,10,6,0
324,3 ,8 ,9 ,20,6,0
325,5 ,5 ,3 ,13,2,1
326,9 ,6 ,3 ,18,6,0
327,8 ,0 ,4 ,12,8,0
328,7 ,5 ,0 ,12,7,0
329,9 ,8 ,0 ,17,9,0
330,5 ,4 ,2 ,11,3,0
331,4 ,9 ,3 ,16,6,0
332,3 ,0 ,6 ,9,6,0
333,8 ,4 ,5 ,17,4,0
334,4 ,5 ,5 ,14,1,1
335,1 ,6 ,8 ,15,7,0
336,2 ,2 ,6 ,10,4,1
337,9 ,5 ,3 ,17,6,0
338,5 ,2 ,6 ,13,4,0
339,4 ,7 ,2 ,13,5,0
340,6 ,1 ,0 ,7,6,0
341,4 ,4 ,1 ,9,3,1
342,6 ,3 ,2 ,11,4,0
343,6 ,3 ,9 ,18,6,0
344,0 ,7 ,0 ,7,7,1
345,1 ,8 ,7 ,16,7,0
346,0 ,3 ,1 ,4,3,0
347,9 ,4 ,2 ,15,7,0
348,2 ,7 ,0 ,9,7,0
349,9 ,8 ,5 ,22,4,0
350,2 ,6 ,1 ,9,5,0
351,5 ,9 ,8 ,22,4,0
352,1 ,5 ,9 ,15,8,0
353,0 ,0 ,8 ,8,8,1
354,8 ,0 ,7 ,15,8,0
355,6 ,1 ,5 ,12,5,0
356,5 ,9 ,6 ,20,4,0
357,9 ,3 ,8 ,20,6,0
358,6 ,2 ,8 ,16,6,0
359,0 ,4 ,0 ,4,4,1
360,0 ,3 ,8 ,11,8,0
361,0 ,5 ,3 ,8,5,0
362,4 ,7 ,5 ,16,3,0
363,0 ,9 ,0 ,9,9,1
364,1 ,4 ,3 ,8,3,0
365,3 ,9 ,6 ,18,6,0
366,6 ,6 ,8 ,20,2,1
367,9 ,0 ,8 ,17,9,0
368,1 ,7 ,1 ,9,6,1
369,9 ,8 ,9 ,26,1,1
370,5 ,1 ,8 ,14,7,0
371,0 ,7 ,9 ,16,9,0
372,8 ,3 ,2 ,13,6,0
373,1 ,9 ,6 ,16,8,0
374,0 ,5 ,4 ,9,5,0
375,1 ,6 ,1 ,8,5,1
376,8 ,3 ,8 ,19,5,1
377,5 ,6 ,6 ,17,1,1
378,3 ,8 ,7 ,18,5,0
379,0 ,3 ,1 ,4,3,0
380,3 ,9 ,1 ,13,8,0
381,4 ,4 ,1 ,9,3,1
382,8 ,3 ,8 ,19,5,1
383,4 ,1 ,5 ,10,4,0
384,3 ,3 ,9 ,15,6,1
385,3 ,7 ,8 ,18,5,0
386,5 ,9 ,3 ,17,6,0
387,0 ,2 ,2 ,4,2,1
388,6 ,2 ,9 ,17,7,0
389,0 ,0 ,8 ,8,8,1
390,8 ,9 ,8 ,25,1,1
391,2 ,9 ,1 ,12,8,0
392,6 ,6 ,8 ,20,2,1
393,2 ,3 ,5 ,10,3,0
394,7 ,9 ,1 ,17,8,0
395,8 ,1 ,4 ,13,7,0
396,0 ,1 ,1 ,2,1,1
397,8 ,4 ,2 ,14,6,0
398,3 ,3 ,9 ,15,6,1
399,2 ,6 ,9 ,17,7,0
400,9 ,9 ,3 ,21,6,1
401,2 ,5 ,9 ,16,7,0
402,5 ,6 ,4 ,15,2,0
403,9 ,2 ,4 ,15,7,0
404,4 ,6 ,3 ,13,3,0
405,8 ,1 ,4 ,13,7,0
406,8 ,3 ,3 ,14,5,1
407,1 ,3 ,5 ,9,4,0
408,4 ,1 ,6 ,11,5,0
409,3 ,1 ,4 ,8,3,0
410,0 ,1 ,4 ,5,4,0
411,5 ,8 ,0 ,13,8,0
412,8 ,9 ,7 ,24,2,0
413,7 ,9 ,5 ,21,4,0
414,7 ,2 ,7 ,16,5,1
415,7 ,0 ,6 ,13,7,0
416,6 ,5 ,8 ,19,3,0
417,3 ,6 ,3 ,12,3,1
418,8 ,6 ,6 ,20,2,1
419,9 ,0 ,1 ,10,9,0
420,6 ,9 ,9 ,24,3,1
421,9 ,4 ,9 ,22,5,1
422,7 ,2 ,1 ,10,6,0
423,7 ,2 ,4 ,13,5,0
424,6 ,5 ,0 ,11,6,0
425,7 ,2 ,0 ,9,7,0
426,2 ,1 ,1 ,4,1,1
427,2 ,7 ,9 ,18,7,0
428,4 ,6 ,6 ,16,2,1
429,8 ,3 ,6 ,17,5,0
430,2 ,1 ,1 ,4,1,1
431,8 ,6 ,2 ,16,6,0
432,7 ,2 ,5 ,14,5,0
433,1 ,7 ,4 ,12,6,0
434,2 ,3 ,8 ,13,6,0
435,9 ,1 ,5 ,15,8,0
436,0 ,1 ,6 ,7,6,0
437,2 ,0 ,7 ,9,7,0
438,7 ,7 ,4 ,18,3,1
439,3 ,8 ,9 ,20,6,0
440,7 ,3 ,2 ,12,5,0
441,2 ,3 ,8 ,13,6,0
442,7 ,6 ,3 ,16,4,0
443,5 ,1 ,9 ,15,8,0
444,8 ,1 ,2 ,11,7,0
445,5 ,5 ,0 ,10,5,1
446,1 ,6 ,8 ,15,7,0
447,5 ,1 ,6 ,12,5,0
448,8 ,2 ,2 ,12,6,1
449,5 ,5 ,7 ,17,2,1
450,3 ,4 ,8 ,15,5,0
451,5 ,3 ,6 ,14,3,0
452,8 ,9 ,0 ,17,9,0
453,4 ,9 ,6 ,19,5,0
454,8 ,6 ,0 ,14,8,0
455,7 ,0 ,9 ,16,9,0
456,9 ,9 ,7 ,25,2,1
457,5 ,4 ,7 ,16,3,0
458,3 ,0 ,6 ,9,6,0
459,1 ,6 ,5 ,12,5,0
460,8 ,0 ,4 ,12,8,0
461,3 ,4 ,0 ,7,4,0
462,5 ,2 ,6 ,13,4,0
463,2 ,3 ,6 ,11,4,0
464,7 ,8 ,5 ,20,3,0
465,5 ,1 ,8 ,14,7,0
466,9 ,7 ,5 ,21,4,0
467,6 ,7 ,8 ,21,2,0
468,8 ,8 ,4 ,20,4,1
469,8 ,0 ,3 ,11,8,0
470,2 ,8 ,6 ,16,6,0
471,8 ,6 ,5 ,19,3,0
472,7 ,0 ,5 ,12,7,0
473,7 ,0 ,5 ,12,7,0
474,7 ,5 ,8 ,20,3,0
475,3 ,7 ,8 ,18,5,0
476,8 ,9 ,1 ,18,8,0
477,1 ,0 ,6 ,7,6,0
478,8 ,9 ,1 ,18,8,0
479,8 ,2 ,5 ,15,6,0
480,0 ,9 ,6 ,15,9,0
481,8 ,6 ,1 ,15,7,0
482,6 ,7 ,4 ,17,3,0
483,6 ,6 ,7 ,19,1,1
484,3 ,9 ,3 ,15,6,1
485,9 ,9 ,4 ,22,5,1
486,4 ,1 ,3 ,8,3,0
487,7 ,3 ,5 ,15,4,0
488,2 ,0 ,2 ,4,2,1
489,7 ,5 ,3 ,15,4,0
490,8 ,2 ,8 ,18,6,1
491,9 ,0 ,9 ,18,9,1
492,3 ,2 ,4 ,9,2,0
493,7 ,7 ,9 ,23,2,1
494,9 ,7 ,6 ,22,3,0
495,7 ,6 ,8 ,21,2,0
496,5 ,3 ,7 ,15,4,0
497,6 ,6 ,1 ,13,5,1
498,9 ,1 ,5 ,15,8,0
499,7 ,8 ,0 ,15,8,0
500,5 ,1 ,4 ,10,4,0
501,8 ,2 ,6 ,16,6,0
502,4 ,4 ,5 ,13,1,1
503,4 ,6 ,5 ,15,2,0
504,4 ,6 ,4 ,14,2,1
505,8 ,7 ,0 ,15,8,0
506,4 ,9 ,1 ,14,8,0
507,1 ,8 ,2 ,11,7,0
508,7 ,6 ,0 ,13,7,0
509,1 ,2 ,5 ,8,4,0
510,2 ,9 ,7 ,18,7,0
511,4 ,6 ,8 ,18,4,0
512,7 ,5 ,6 ,18,2,0
513,8 ,8 ,2 ,18,6,1
514,7 ,5 ,7 ,19,2,1
515,2 ,1 ,7 ,10,6,0
516,7 ,3 ,5 ,15,4,0
517,5 ,5 ,1 ,11,4,1
518,3 ,1 ,9 ,13,8,0
519,0 ,0 ,1 ,1,1,1
520,7 ,9 ,4 ,20,5,0
521,7 ,3 ,8 ,18,5,0
522,1 ,0 ,4 ,5,4,0
523,8 ,3 ,6 ,17,5,0
524,2 ,8 ,9 ,19,7,0
525,3 ,2 ,3 ,8,1,1
526,1 ,2 ,7 ,10,6,0
527,9 ,7 ,4 ,20,5,0
528,6 ,4 ,8 ,18,4,0
529,6 ,2 ,8 ,16,6,0
530,0 ,1 ,5 ,6,5,0
531,1 ,4 ,6 ,11,5,0
532,4 ,3 ,5 ,12,2,0
533,5 ,2 ,6 ,13,4,0
534,9 ,5 ,1 ,15,8,0
535,2 ,1 ,4 ,7,3,0
536,5 ,6 ,4 ,15,2,0
537,8 ,5 ,6 ,19,3,0
538,0 ,7 ,7 ,14,7,1
539,4 ,1 ,9 ,14,8,0
540,9 ,3 ,8 ,20,6,0
541,2 ,0 ,1 ,3,2,0
542,1 ,5 ,6 ,12,5,0
543,3 ,5 ,8 ,16,5,0
544,7 ,8 ,5 ,20,3,0
545,2 ,9 ,1 ,12,8,0
546,3 ,5 ,5 ,13,2,1
547,7 ,1 ,6 ,14,6,0
548,6 ,1 ,9 ,16,8,0
549,8 ,0 ,2 ,10,8,0
550,7 ,2 ,0 ,9,7,0
551,8 ,6 ,9 ,23,3,0
552,2 ,4 ,3 ,9,2,0
553,5 ,9 ,5 ,19,4,1
554,5 ,9 ,1 ,15,8,0
555,7 ,0 ,9 ,16,9,0
556,3 ,4 ,0 ,7,4,0
557,2 ,6 ,6 ,14,4,1
558,3 ,3 ,5 ,11,2,1
559,7 ,9 ,4 ,20,5,0
560,8 ,1 ,0 ,9,8,0
561,3 ,0 ,6 ,9,6,0
562,9 ,8 ,2 ,19,7,0
563,4 ,7 ,9 ,20,5,0
564,3 ,9 ,0 ,12,9,0
565,6 ,6 ,1 ,13,5,1
566,6 ,4 ,4 ,14,2,1
567,4 ,7 ,9 ,20,5,0
568,5 ,8 ,0 ,13,8,0
569,6 ,4 ,5 ,15,2,0
570,8 ,5 ,7 ,20,3,0
571,0 ,4 ,1 ,5,4,0
572,5 ,9 ,7 ,21,4,0
573,6 ,6 ,4 ,16,2,1
574,9 ,7 ,5 ,21,4,0
575,1 ,9 ,5 ,15,8,0
576,3 ,4 ,6 ,13,3,0
577,1 ,5 ,9 ,15,8,0
578,4 ,2 ,5 ,11,3,0
579,1 ,5 ,5 ,11,4,1
580,3 ,8 ,6 ,17,5,0
581,5 ,9 ,5 ,19,4,1
582,5 ,3 ,7 ,15,4,0
583,0 ,5 ,8 ,13,8,0
584,9 ,2 ,8 ,19,7,0
585,3 ,5 ,9 ,17,6,0
586,2 ,0 ,5 ,7,5,0
587,3 ,6 ,0 ,9,6,0
588,6 ,7 ,0 ,13,7,0
589,1 ,0 ,3 ,4,3,0
590,1 ,1 ,4 ,6,3,1
591,3 ,8 ,1 ,12,7,0
592,1 ,4 ,0 ,5,4,0
593,5 ,9 ,8 ,22,4,0
594,8 ,8 ,4 ,20,4,1
595,3 ,9 ,1 ,13,8,0
596,9 ,3 ,1 ,13,8,0
597,3 ,9 ,6 ,18,6,0
598,2 ,0 ,0 ,2,2,1
599,8 ,7 ,8 ,23,1,1
600,5 ,4 ,6 ,15,2,0
601,6 ,3 ,3 ,12,3,1
602,0 ,4 ,8 ,12,8,0
603,4 ,1 ,5 ,10,4,0
604,4 ,1 ,4 ,9,3,1
605,5 ,7 ,5 ,17,2,1
606,5 ,9 ,3 ,17,6,0
607,9 ,7 ,5 ,21,4,0
608,7 ,4 ,0 ,11,7,0
609,0 ,0 ,2 ,2,2,1
610,4 ,1 ,7 ,12,6,0
611,5 ,5 ,5 ,15,0,1
612,5 ,1 ,5 ,11,4,1
613,1 ,3 ,1 ,5,2,1
614,3 ,0 ,4 ,7,4,0
615,2 ,6 ,9 ,17,7,0
616,5 ,0 ,6 ,11,6,0
617,1 ,5 ,0 ,6,5,0
618,5 ,3 ,4 ,12,2,0
619,6 ,5 ,7 ,18,2,0
620,8 ,7 ,1 ,16,7,0
621,9 ,4 ,3 ,16,6,0
622,6 ,1 ,3 ,10,5,0
623,1 ,7 ,5 ,13,6,0
624,2 ,2 ,5 ,9,3,1
625,1 ,9 ,5 ,15,8,0
626,3 ,6 ,4 ,13,3,0
627,8 ,9 ,7 ,24,2,0
628,2 ,9 ,8 ,19,7,0
629,4 ,0 ,1 ,5,4,0
630,0 ,5 ,9 ,14,9,0
631,4 ,3 ,2 ,9,2,0
632,6 ,1 ,1 ,8,5,1
633,7 ,0 ,0 ,7,7,1
634,3 ,9 ,9 ,21,6,1
635,6 ,5 ,0 ,11,6,0
636,3 ,6 ,6 ,15,3,1
637,6 ,1 ,1 ,8,5,1
638,2 ,2 ,4 ,8,2,1
639,1 ,3 ,1 ,5,2,1
640,5 ,8 ,9 ,22,4,0
641,4 ,8 ,2 ,14,6,0
642,3 ,0 ,5 ,8,5,0
643,5 ,7 ,7 ,19,2,1
644,5 ,2 ,6 ,13,4,0
645,2 ,8 ,3 ,13,6,0
646,6 ,9 ,0 ,15,9,0
647,6 ,6 ,8 ,20,2,1
648,6 ,7 ,3 ,16,4,0
649,7 ,3 ,5 ,15,4,0
650,8 ,7 ,4 ,19,4,0
651,2 ,1 ,8 ,11,7,0
652,2 ,4 ,4 ,10,2,1
653,2 ,4 ,5 ,11,3,0
654,7 ,2 ,8 ,17,6,0
655,0 ,9 ,0 ,9,9,1
656,0 ,6 ,2 ,8,6,0
657,8 ,8 ,1 ,17,7,1
658,8 ,6 ,8 ,22,2,1
659,3 ,2 ,3 ,8,1,1
660,1 ,6 ,2 ,9,5,0
661,8 ,3 ,7 ,18,5,0
662,4 ,2 ,8 ,14,6,0
663,3 ,1 ,1 ,5,2,1
664,0 ,3 ,8 ,11,8,0
665,1 ,3 ,2 ,6,2,0
666,1 ,4 ,4 ,9,3,1
667,0 ,0 ,0 ,0,0,1
668,0 ,9 ,0 ,9,9,1
669,6 ,1 ,5 ,12,5,0
670,3 ,9 ,2 ,14,7,0
671,9 ,3 ,2 ,14,7,0
672,8 ,8 ,4 ,20,4,1
673,7 ,4 ,3 ,14,4,0
674,9 ,8 ,1 ,18,8,0
675,2 ,0 ,1 ,3,2,0
676,0 ,2 ,3 ,5,3,0
677,3 ,5 ,4 ,12,2,0
678,9 ,9 ,8 ,26,1,1
679,2 ,8 ,8 ,18,6,1
680,5 ,4 ,5 ,14,1,1
681,7 ,7 ,8 ,22,1,1
682,0 ,6 ,0 ,6,6,1
683,1 ,0 ,8 ,9,8,0
684,8 ,2 ,1 ,11,7,0
685,9 ,9 ,2 ,20,7,1
686,0 ,5 ,3 ,8,5,0
687,4 ,5 ,3 ,12,2,0
688,5 ,4 ,8 ,17,4,0
689,6 ,7 ,9 ,22,3,0
690,8 ,9 ,5 ,22,4,0
691,1 ,9 ,6 ,16,8,0
692,5 ,6 ,3 ,14,3,0
693,4 ,4 ,3 ,11,1,1
694,5 ,1 ,5 ,11,4,1
695,7 ,4 ,4 ,15,3,1
696,0 ,2 ,1 ,3,2,0
697,3 ,5 ,8 ,16,5,0
